edit_id,host-regex,type,uuid
IPv4-address,^([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])(\.([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])){3}$,host-regex,3824e69c-725f-51ed-9a8b-88a8bb8685f8
IPv6-address,"^\[(([0-9a-f]{0,4}:){1,7}[0-9a-f]{1,4})\]$",host-regex,3824e778-725f-51ed-30ba-232c158b40d4
