edit_id,application-list,application-list-status,av-profile,av-profile-status,ips-sensor,ips-sensor-status,ipv6,logtraffic,non-ip,uuid,webfilter-profile,webfilter-profile-status
1,sniffer-profile,enable,sniffer-profile,enable,sniffer-profile,enable,enable,all,enable,6fae1bb6-c72b-51ee-476a-6b2b90d26f9f,sniffer-profile,enable
2,sniffer-profile,enable,sniffer-profile,enable,sniffer-profile,enable,enable,all,enable,6fae3ccc-c72b-51ee-353b-382b5a9391bf,sniffer-profile,enable
