edit_id,name,port,protocol
1,pptp,1723,6
10,mms,1863,6
11,pmap,111,6
12,pmap,111,17
13,sip,5060,17
14,dns-udp,53,17
15,rsh,514,6
16,rsh,512,6
17,dcerpc,135,6
18,dcerpc,135,17
19,mgcp,2427,17
2,h323,1720,6
20,mgcp,2727,17
3,ras,1719,17
4,tns,1521,6
5,tftp,69,17
6,rtsp,554,6
7,rtsp,7070,6
8,rtsp,8554,6
9,ftp,21,6
