edit_id,action,application-list,auto-asic-offload,av-profile,comments,dstaddr,dstintf,groups,inspection-mode,internet-service,internet-service-name,ips-sensor,logtraffic,name,nat,np-acceleration,port-preserve,schedule,service,srcaddr,srcintf,ssl-ssh-profile,status,timeout-send-rst,users,utm-status,uuid,webfilter-profile,ztna-ems-tag,ztna-status
145,accept,,,,Clone of 62,pulse_new_172.16.0.0/24,port11,SSL_VPN_HQ,,,,,,,,,,always,ALL,SSL_VPN_HQ,ssl.root,certificate-inspection,,,forticlient,,908d4386-bcfb-51ea-7f57-42c41435e045,,,
146,accept,,,,Clone of 142,DOSSB_KSB-192.168.4.0/24,toDOSSB_KSB,DeleumHQ_SSO_user,,,,high_security,,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,,,,enable,b57c74ac-4768-51ec-b610-c7cf430d288b,,,
147,accept,deleum application control,,,,Server-192.168.42.0/24,port10,,,,,high_security,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,disable,,,enable,571493e0-a499-51ea-3f26-a0830750dd43,deleum_webfilter,,
148,accept,,,,Clone of 147,Trust-192.168.0.0/23,port9,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,,,,enable,d91b1c10-a499-51ea-10d8-e859d9b17dab,,,
149,accept,deleum application control,,,Clone of 37,secure.deleum.com_175.143.1.50,port11,,,,,high_security,all,,,,,always,HTTPS,all,virtual-wan-link,certificate-inspection,disable,,,enable,780c3ac0-a49a-51ea-9fb8-94e19374d4bc,,,
150,accept,,,,Reverse of 148,pulse_new_172.16.0.0/24,port11,,,,,high_security,,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,,,,enable,912cae70-a49c-51ea-b186-8dd1c0fd5a5b,,,
151,accept,,,,Reverse of 147,pulse_new_172.16.0.0/24,port11,,,,,,all,,,,,always,ALL,Server-192.168.42.0/24,port10,certificate-inspection,,,,,263ee3e8-a49d-51ea-d71a-199469ebbd46,,,
152,accept,,,,Clone of 126,pulse_new_172.16.0.0/24,port11,DeleumHQ_SSO_user,,,,high_security,,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,disable,,,enable,8e1308a4-aa25-51ea-8afc-602b3358b971,,,
153,accept,,,,Clone of 85,DOSSB_KSB-192.168.4.0/24,toDOSSB_KSB,,,,,,disable,,,,,always,ALL,FAZ200F_192.168.30.2,port5,,,,,,56eb1be2-481b-51ec-fd3c-f325160ce8cc,,,
154,accept,,,,Clone of 144,DBATT_192.168.10.7,port8,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,disable,,,enable,78e7ea84-aa26-51ea-1d6e-7d5a24c8519e,,,
155,accept,,,,Clone of 45,Branches_LAN,virtual-wan-link,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,disable,,,enable,bf962bb2-aa26-51ea-41ac-77db870ecf8b,,,
156,accept,deleum application control,,,Clone of 46,all,virtual-wan-link,,proxy,,,,all,,enable,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,disable,,,enable,ddc84034-aa26-51ea-85b1-4865b696b26b,deleum_webfilter,,
157,accept,,,,Reverse of 155,pulse_new_172.16.0.0/24,port11,,,,,default,all,,,,,always,ALL,Branches_LAN,virtual-wan-link,certificate-inspection,disable,,,enable,13038b3c-aa27-51ea-a914-aaf9dfbe554d,,,
160,accept,,,,Clone of 142,DOSSB_Labuan-192.168.2.0/24,HQ_Vlan20,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,disable,,,enable,0a469d3e-aa2e-51ea-9cb6-26a48e13bd87,,,
161,accept,,,,Clone of 172,DOSSB_KSB-192.168.4.0/24,toKSB_secondary,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,,,,enable,d2327c82-174b-51ed-e670-8d4ea929b818,,,
162,accept,,,,Clone of 109,DPSB_CKJ_192.168.14.0/24,to_CKJ_unifi,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,,,,enable,5949dc64-aa30-51ea-d274-ca39ffeda19b,,,
163,accept,,,,Reverse of 153,FAZ200F_192.168.30.2,port5,,,,,,all,,,,,always,ALL,DOSSB_KSB-192.168.4.0/24,toDOSSB_KSB,,,,,,7abba032-481b-51ec-c05a-15662b0f2e32,,,
164,accept,,,,Clone of 143,DOSSB_Miri-192.168.5.0/24,to_DOSSB_Miri,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,,,,enable,abc4630a-aa31-51ea-89ba-c5344505f71f,,,
165,accept,,,,Reverse of 133,DR-192.168.43.0/24,toIT_fromHQ,,,,,high_security,,,,,,always,ALL,Server-192.168.42.0/24,port10,certificate-inspection,,,,enable,ed3faac4-791f-51ec-83a6-80fbfc6fbb14,,,
167,accept,,,,Clone of 131,ICT_HQ_192.168.111.0/24,toIT_fromHQ,SSL_VPN_HQ,,,,high_security,,,,,,always,ALL,SSL_VPN_HQ_new,ssl.root,certificate-inspection,,,,enable,b16882a4-78fd-51ec-7ba1-892925789c2d,,,
168,accept,,,,,pulse_new_172.16.0.0/24,port11,,,,,default,,,,,,always,ALL,Miri_WS-192.168.8.0/24,toMiriWH,certificate-inspection,,,,enable,eccc597a-f0db-51ea-de74-f9dd5cdb9c04,,,
169,accept,,,,Reverse of 167,Trust-192.168.0.0/23,port9,,,,,high_security,,,,,,always,ALL,ICT_HQ_192.168.111.0/24,toIT_fromHQ,certificate-inspection,,,,enable,e852c608-78fd-51ec-a490-acd7fcf7197e,,,
17,accept,,,,,Branches_LAN,virtual-wan-link,,,,,,all,,,,,always,ALL,Server-192.168.42.0/24,port10,,,,,,38f979fa-673e-51e9-86f3-43e881afacad,,,
170,accept,,,,Clone of 87,DPSB_CKJ_192.168.14.0/24,toCKJ_secondary,,,,,,disable,,,,,always,ALL,FAZ200F_192.168.30.2,port5,,,,,,69f6c8f2-87dc-51ec-f1ae-9228de5f1186,,,
171,accept,,,,Reverse of 164,pulse_new_172.16.0.0/24,port11,,,,,default,,,,,,always,ALL,DOSSB_Miri-192.168.5.0/24,to_DOSSB_Miri,certificate-inspection,,,,enable,eb960878-f0de-51ea-6a49-797c02720b1d,,,
172,accept,,,,Clone of 161,DPSB_CKJ_192.168.14.0/24,toCKJ_secondary,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,,,,enable,9c4be31e-87dc-51ec-da3f-88f8207d44d4,,,
173,accept,,,,Clone of 51,DPSB_CKJ_192.168.14.0/24,toCKJ_secondary,,,,,,all,,,,,always,ALL,Server-192.168.42.0/24,port10,,,,,,dbe832d4-87dc-51ec-9d73-c0502291ff7e,,,
174,accept,,,,Reverse of 160,pulse_new_172.16.0.0/24,port11,,,,,default,,,,,,always,ALL,DOSSB_Labuan-192.168.2.0/24,HQ_Vlan20,certificate-inspection,disable,,,enable,2221523a-f0e4-51ea-144b-48d3c8fa9642,,,
175,accept,,,,Clone of 69,DPSB_CKJ_192.168.14.0/24,toCKJ_secondary,SSL_VPN_HQ,,,,,,,,,,always,ALL,SSL_VPN_HQ,ssl.root,,,,,,5a8f6d82-87dd-51ec-ca3d-b0a65ef08856,,,
