edit_id,cos-queue,description,guaranteed-bandwidth,guaranteed-burst,id,maximum-burst
quarantine,0,Rate control for quarantined traffic,163840,8192,1,163840
sniffer,0,Rate control for sniffer mirrored traffic,50000,8192,2,163840
